Parallax,"""星察"""
Primed Reach,"""剑风Prime"""
Primed Rifle Ammo Mutation,"""步枪弹药转换Prime"""
Primed Shotgun Ammo Mutation,"""霰弹枪弹药转换Prime"""
Primed Slip Magazine,"""串联弹匣Prime"""
Primed Target Cracker,"""弱点专精Prime"""
Prize Kill,"""杀戮奖励"""
Protect,"""保护"""
Provoked,"""激怒"""
Pummel,"""强力猛击"""
Purging Slash,"""净化斩"""
Purifying Flames,"""净化烈焰"""
Quickdraw,"""持续火力"""
Quick Charge,"""护盾速充"""
Quick Rest,"""快速回复"""
Quick Return,"""快速收回"""
Quick Thinking,"""随机应变"""
Quickening,"""加速（MOD）"""
Radiant Finish,"""终结闪光"""
Rage,"""狂暴化"""
Rapid Resilience,"""极速复元"""
Ravage,"""破灭"""
Razor Shot,"""剃刀射击"""
Reach,"""剑风"""
Reaping Spiral,"""收割螺旋"""
Rebound,"""弹跳"""
Recharge Barrier,"""充能电幕"""
Redirection,"""蓄能重划"""
Redirection (Sentinel),"""精算蓄能"""
Reflection,"""充能反弹"""
Reflex Coil,"""增幅线圈"""
Reflex Draw,"""反射拔枪"""
Reflex Guard,"""反射防御"""
Regen,"""重生"""
Rejuvenation,"""返老还童"""
Relentless Assault,"""残酷打击"""
Rending Crane,"""撕裂鹤击"""
Rending Strike,"""撕裂打击"""
Rending Turn,"""撕裂翻转"""
Repelling Bastille,"""驱逐力场"""
Resonance,"""残响共鸣"""
Retribution,"""惩戒"""
Retrieve,"""嗅索取物"""
Revenge,"""复仇"""
Rifle Ammo Mutation,"""步枪弹药转换"""
Rifle Amp,"""步枪增幅"""
Rifle Aptitude,"""步枪才能"""
Rifle Scavenger,"""步枪弹药搜集者"""
Rift Torrent,"""裂隙洪流"""
Rime Rounds,"""白霜弹头"""
Rubedo-Lined Barrel,"""红晶枪管"""
Ruinous Extension,"""毁灭扩展"""
Rupture,"""破裂"""
Rush,"""冲刺"""
Sanctuary (Mod),"""守护光罩"""
Sapping Reach,"""蚀能磁触"""
Savage Silence,"""残酷无息"""
Savagery,"""野蛮压制"""
Sawtooth Clip,"""锯齿弹链"""
Scattering Inferno,"""炼狱轰击"""
Scavenge,"""搜集"""
Scorch (Mod),"""灼痕焦点"""
Muzzle Flash,"""枪口闪焰"""
Searing Steel,"""炽燃钢铁"""
Second Wind,"""再起"""
Seeker (Mod),"""弹头导引"""
Seeking Force,"""穿透力"""
Seismic Palm,"""震撼冲拳"""
Self Destruct,"""自爆"""
Serration,"""膛线"""
Shell Compression,"""压缩弹药"""
Shell Shock,"""电冲弹药"""
Shelter,"""庇护"""
Shattering Storm,"""云暴山碎"""
Shield Disruption,"""护盾瓦解"""
Shield Flux,"""护盾通量"""
Shield Overload,"""护盾过载"""
Shield Transference,"""护盾转移"""
Shimmering Blight,"""飞光荒疫"""
Shock Absorbers,"""减震器"""
Shock Trooper,"""电击奇兵"""
Shocking Touch,"""电击触点"""
Shotgun Ammo Mutation,"""霰弹枪弹药转换"""
Shotgun Savvy,"""通晓霰弹枪"""
Shotgun Scavenger,"""霰弹枪弹药搜集者"""
Shotgun Spazz,"""霰弹速射"""
Shred,"""撕裂"""
Shredder,"""粉碎器"""
Signal Flare,"""信号闪光"""
Singularity,"""奇异点"""
Sinister Reach,"""凶恶延伸"""
Sinking Talon,"""沉没之爪"""
Slip Magazine,"""串联弹匣"""
Smite Corpus,"""毁灭Corpus"""
Smite Grineer,"""毁灭Grineer"""
Smite Infested,"""毁灭Infested"""
Smoke Shadow,"""庇护烟幕"""
Sniper Ammo Mutation,"""狙击枪弹药转换"""
Sniper Scavenger,"""狙击枪弹药搜集者"""
Soft Hands,"""精湛快手"""
Jet Stream,"""急流"""
Soul Survivor,"""幸存生灵"""
Spare Parts,"""残余"""
Spoiled Strike,"""腐坏打击"""
Speed Holster,"""快速切换"""
Speed Trigger,"""灵敏扳机"""
Split Chamber,"""分裂膛室"""
Sprint Boost,"""冲刺提升"""
Stabilizer,"""稳定"""
Stalk,"""隐密追踪"""
Stalking Fan,"""缠旋风切"""
Stand Ground,"""坚守"""
Steady Hands,"""稳定枪手"""
Steel Charge,"""钢铁充能"""
Steel Fiber,"""钢铁纤维"""
Steel Fiber (Sentinel),"""金属纤维（守护）"""
Stormbringer,"""暴风使者"""
Streamline,"""简化"""
Stretch,"""延伸"""
Striker,"""前锋"""
Stunning Speed,"""慑人神速"""
Sudden Impact,"""瞬间冲击"""
Sundering Strike,"""破甲"""
Sundering Weave,"""分裂编织"""
Superior Defenses,"""卓越防御"""
Suppress,"""消音"""
Sure Footed,"""顶天立地"""
Sure Shot,"""准确射手"""
Sweeping Serration,"""扫荡锯齿"""
Swift Deth,"""瞬杀"""
Swirling Tiger,"""旋风虎击"""
Vengeful Revenant,"""复仇亡灵"""
Defiled Snapdragon,"""积秽骁龙"""
Vulpine Mask,"""狡狐诈面"""
System Reroute,"""系统重划"""
Tactical Pump,"""战术上膛"""
Tactical Reload,"""机动装填"""
Tainted Clip,"""感染弹匣"""
Tainted Mag,"""腐败弹匣"""
Tainted Shell,"""污秽弹药"""
Target Cracker,"""弱点专精"""
Targeting Receptor,"""目标感应"""
Tear Gas,"""催泪毒雾"""
Tempered Blade,"""强化刀片"""
Tempo Royale,"""皇家节奏"""
Terminal Velocity,"""极限速度"""
Tesla Link,"""特斯拉陷阱"""
Thermite Rounds,"""铝热焊弹"""
Tracking Shot,"""标记射击"""
Trick Mag,"""戏法增幅"""
Thief's Wit,"""盗贼天赋"""
Thunderbolt,"""雷火"""
Thumper,"""重击者"""
Tidal Impunity,"""潮汐涌净"""
Total Eclipse,"""全蚀"""
Toxic Barrage,"""毒素弹幕"""
Toxic Blight,"""毁坏毒素"""
Toxic Flight,"""剧毒飞腾"""
Transient Fortitude,"""瞬时坚毅"""
Tranquil Cleave,"""秋风落叶"""
True Punishment,"""真实惩罚"""
True Steel,"""斩铁"""
Twitch,"""迅速抽换"""
Undying Will,"""不朽意志"""
Unleashed,"""释放"""
Vacuum,"""吸取"""
Vampire Leech,"""汲能榨取"""
Vaporize,"""汽化"""
Vazarin Transmute Core,"""Vazarin转换核心"""
Venom Dose,"""猛毒附加"""
Venomous Clip,"""恶毒弹匣"""
Vermillion Storm,"""朱红暴风"""
Vicious Frost,"""蚀骨寒霜"""
Vicious Spread,"""恶性扩散"""
Vigor,"""活力"""
Vile Acceleration,"""卑劣加速"""
Vile Precision,"""极恶精准"""
Virulent Scourge,"""剧毒灾害"""
Vital Sense,"""弱点感应"""
Vitality,"""生命力"""
Volcanic Edge,"""爆裂刀刃"""
Voltaic Strike,"""伏打电能"""
Warm Coat,"""保温服"""
Warrior,"""战士"""
Whirlwind,"""旋风"""
Wildfire,"""野火"""
Primed Morphic Transformer,"""非晶变压器Prime"""
Agility Drift,"""矫捷窜升"""
Power Drift,"""力量窜升"""
Stealth Drift,"""匿踪窜升"""
Cunning Drift,"""狡诈窜升"""
Speed Drift,"""速度窜升"""
Endurance Drift,"""坚忍窜升"""
Coaction Drift,"""协力窜升"""
Primed Fury,"""狂暴Prime"""
Primed Vigor,"""活力Prime"""
Hushed Invisibility,"""静谧无踪"""
Spring-Loaded Chamber,"""簧压膛室"""
Pressurized Magazine,"""增压弹匣"""
Body Count,"""杀伤计数"""
Catalyzer Link,"""触媒连动"""
Focused Defense,"""重点防御"""
Hydraulic Crosshairs,"""液压准心"""
Shrapnel Shot,"""破片射击"""
Bladed Rounds,"""尖刃弹头"""
Blood Rush,"""急进猛突"""
Embedded Catalyzer,"""内置触媒"""
Laser Sight,"""雷射瞄具"""
Repeater Clip,"""转轮弹匣"""
Sharpened Bullets,"""尖锐子弹"""
Targeting Subsystem,"""定位辅助"""
Weeping Wounds,"""创口溃烂"""
Argon Scope,"""氩晶瞄具"""
Maiming Strike,"""致残突击"""
Nano-Applicator,"""纳米涂覆"""
Narrow Barrel,"""狭窄枪膛"""
Electro Pulse,"""电光脉冲"""
Air Thrusters,"""空中推进"""
Adept Surge,"""跃浪好手"""
Rising Skill,"""飞升技巧"""
Calculated Spring,"""精准弹跳"""
Tempered Bound,"""调节跳跃"""
Low Current Leap,"""低能耗飞跃"""
Meteor Munitions,"""流星弹药"""
Impaler Munitions,"""穿刺弹药"""
Razor Munitions,"""剃刀弹药"""
Comet Rounds,"""彗星弹头"""
Ripper Rounds,"""撕裂弹头"""
Serrated Rounds,"""锯刃弹头"""
Crash Shot,"""溃散射击"""
Shred Shot,"""撕碎射击"""
Flak Shot,"""高射炮击"""
Counterweight,"""平衡配重"""
Serrated Edges,"""锯齿边缘"""
Sharpened Blade,"""锐利刀刃"""
Armored Recovery,"""复原装甲"""
Anticipation,"""冲击预感"""
Spry Sights,"""迅敏视觉"""
Agile Aim,"""机动瞄准"""
Snap Shot,"""速射"""
Air Recon,"""空中侦察"""
Anti-Flak Plating,"""抗爆覆甲"""
Armored Acrobatics,"""杂技装甲"""
Armored Evade,"""闪避装甲"""
Surplus Diverters,"""残盾转换"""
Gun Glide,"""恒稳枪杆"""
Double-Barrel Drift,"""游离双管"""
Strafing Slide,"""滑行扫射"""
Martial Fury,"""狂暴尚武"""
Heartseeker,"""觅心猎手"""
Impenetrable Offense,"""绝壁强攻"""
Sword Alone,"""一剑在手"""
Lie In Wait,"""埋伏射击"""
Rumbled,"""轰隆石者"""
Push & Pull,"""探推－挽拉"""
Deceptive Bond,"""虚伪连结"""
Prism Guard,"""棱镜护卫"""
Discharge Strike,"""卸能打击"""
Ward Recovery,"""火绫复苏"""
Antimatter Mine,"""反物质地雷"""
Power of Three,"""三幂之力"""
Mesa's Waltz,"""Mesa的华尔兹"""
Overcharged,"""能量超载"""
Deadly Sequence,"""致命数列"""
Sequence Burn,"""延烧数列"""
Toxic Sequence,"""毒素数列"""
Resonating Quake,"""震地共鸣"""
Creeping Terrify,"""缓动惊骇"""
Iron Vault,"""神针腾跃"""
Primal Rage,"""原始暴怒"""
Phoenix Renewal,"""凤凰新生"""
Eroding Blight,"""侵蚀毁坏"""
Gleaming Blight,"""毁坏微光"""
Entropy Burst,"""熵数爆发"""
Entropy Flight,"""飞逝熵数"""
Entropy Spike,"""熵数尖钉"""
Arcane Strike,"""速攻赋能"""
Arcane Trickery,"""诡计赋能"""
Arcane Energize,"""充沛赋能"""
Arcane Eruption,"""爆发赋能"""
Arcane Pulse,"""生机赋能"""
Arcane Avenger,"""复仇者赋能"""
Accuracy,"""精准度"""
Affinity,"""经验值"""
Alert,"""警报"""
Alerts,"""警报"""
Alliance,"""联盟"""
Alloy Armor,"""合金装甲"""
Ammo,"""弹药"""
Arcane,"""秘奥"""
Arcane Enhancement,"""赋能"""
Arcane Enhancements,"""赋能"""
Archwing Maneuvers,"""Archwing操控"""
Armor,"""护甲"""
armour,"""护甲"""
Arsenal,"""军械库"""
Attack Speed,"""攻击速度"""
Attributes,"""属性"""
Aura,"""光环MOD"""
Balor Fomorian,"""巴罗尔巨人战舰"""
Bleed,"""出血"""
Blocking,"""格挡"""
Blueprint,"""蓝图"""
Blueprints,"""蓝图"""
Boss,"""头目"""
Bosses,"""头目"""
Cell,"""小队"""
Cephalon,"""中枢"""
Characters,"""角色"""
Challenge Reward,"""挑战奖励"""
Channeling,"""导引"""
Clan,"""氏族"""
Cloned Flesh,"""复制肉体"""
Codex,"""资料库"""
Cold,"""冰冻"""
Color Palettes,"""色彩包"""
Colour Picker Extension,"""调色板"""
Color Picker Extension,"""调色板"""
Companions,"""同伴"""
Common,"""常见"""
Corrupted,"""堕落者"""
Corrupted Mods,"""堕落MOD"""
Credits,"""现金"""
Credit,"""现金"""
Critical Hit,"""暴击"""
Critical Hit (Mechanic),"""暴击"""
Crit Chance,"""暴击几率"""
Crit Multiplier,"""暴击倍率"""
Daily Tribute,"""每日献礼"""
Damage,"""伤害"""
Damage 2.0,"""伤害"""
Damaged Mods,"""瑕疵的MOD"""
Death,"""死亡"""
Death Mark,"""死亡标记"""
Ducats,"""杜卡德金币"""
Duel,"""决斗"""
Dojo,"""道场"""
Electric,"""电击"""
Elemental Damage,"""元素伤害"""
Elemental Sandstorm,"""元素沙暴"""
Enemy Behavior,"""敌方行为"""
Enemy Body Parts,"""敌人身体部位"""
Enemy Level Scaling,"""敌方等级变化规律"""
Energy,"""能量"""
Equipment,"""配备"""
Exilus Mods,"""特殊功能MOD"""
Experience Mechanics,"""经验机制"""
Event,"""活动"""
Events,"""活动"""
FAQ,"""提问与解答"""
Ferrite Armor,"""铁制装甲"""
Ferrite armor,"""铁质装甲"""
Finisher,"""处决"""
Finishing,"""处决"""
Fire Rate,"""射速"""
Fire Rate (Mechanic),"""射速"""
Flesh,"""肉体"""
Focus,"""专精"""
Formorian,"""巨人战舰"""
Fossilized,"""化石"""
Founders,"""创始人"""
Foundry,"""铸造厂"""
Factions,"""派系"""
Faction Damage Mods,"""派系伤害MOD"""
Fusion,"""融合"""
Game Modes,"""游戏模式"""
Gear,"""携带道具"""
Hacking,"""骇入"""
Heads-Up Display,"""抬头显示界面"""
Health,"""生命值"""
Heat,"""火焰"""
Hidden Messages,"""被隐藏的信息"""
Idle Animations,"""站姿"""
Impact,"""冲击"""
Infested Flesh,"""感染肉体"""
I. Flesh,"""感染肉体"""
Infested Sinew,"""感染肌腱"""
Key Bindings,"""按键绑定"""
Knockdown,"""击倒"""
Kubrow,"""库狛"""
Kuria,"""库利亚猫神器"""
Oddities,"""奇特物件"""
Landing Craft,"""登陆艇"""
Movement Speed,"""移动速度"""
Login Rewards,"""登录奖励"""
Machinery,"""机械"""
Magnetic,"""磁力"""
Corrosive,"""腐蚀"""
Maneuver,"""操控"""
Maneuvers,"""操控"""
Market,"""商店"""
Mastery,"""段位"""
Mastery Rank,"""段位"""
Maximization,"""最大化"""
Maximized,"""最大化"""
Maximized Power Duration,"""技能持续时间最大化"""
Maximized Power Efficiency,"""技能效率最大化"""
Maximized Power Range,"""技能范围最大化"""
Maximized Power Strength,"""技能强度最大化"""
Melee,"""近战"""
Melee Combo Counter,"""近战连击数"""
Melee 2.0,"""近战"""
Mission,"""任务"""
missions,"""任务"""
Mods,"""MOD"""
Mods 2.0,"""MOD"""
Mod,"""MOD"""
Multishot,"""多重射击"""
Multishot (Mechanic),"""多重射击"""
Nav Segment,"""导航模块"""
Nightmare Mode,"""噩梦模式"""
Noise Level,"""噪音等级"""
Object,"""物件"""
Object (Health),"""物件"""
objects,"""物件"""
Obstacle Course,"""障碍训练场"""
Obstacle,"""障碍物"""
One-Handed Action,"""单手动作"""
Operator,"""指挥官"""
Orbiter,"""轨道飞行器"""
Orbiter Segments,"""轨道飞行器模块"""
Orokin Vault,"""Orokin宝库"""
Overshield,"""过载护盾"""
Overshields,"""过载护盾"""
Passives,"""被动效果"""
Pickups,"""可拾取物"""
Pickup,"""可拾取物"""
Platinum,"""白金"""
Polarity,"""极性"""
Polarization,"""极化"""
Power Efficiency,"""技能效率"""
Power Efficiency (Mechanic),"""技能效率"""
Power Mods and Abilities,"""能力MOD与技能"""
Power Strength,"""技能强度"""
Power Duration,"""技能持续时间"""
Power Range,"""技能范围"""
Powers,"""技能"""
Prime Access,"""Prime特权"""
Proc,"""异常状态"""
Projectile Speed,"""投射物速度"""
Proto Shield,"""原型护盾"""
Punch Through,"""穿透"""
Punch Through (Mechanic),"""穿透"""
Puncture,"""穿刺"""
PvP,"""玩家间对抗"""
Quest,"""系列任务"""
Rare,"""稀有"""
Recoil,"""后坐力"""
Referral Program,"""招募计划"""
Reload,"""装填"""
Reload Speed,"""装填速度"""
Research,"""研究"""
Research/Tenno Lab Research Tab,"""Tenno实验室"""
Reward System,"""奖励系统"""
Rift Plane,"""裂隙位面"""
Robotic,"""机器"""
Schema,"""架构"""
Semi-Auto,"""半自动"""
Sentinel,"""守护"""
Sentinels,"""守护"""
Shield,"""护盾"""
Shielded,"""护盾"""
Shields,"""护盾"""
Sigil,"""纹章"""
Sigils,"""纹章"""
Slash,"""切割"""
slide,"""滑行"""
Somatic Link,"""活体连接器"""
Special Weapons,"""特殊武器"""
Specter,"""魅影"""
squad,"""小队"""
Stamina,"""耐力"""
Stance,"""架式"""
Standing,"""声望"""
Status Chance,"""触发几率"""
Status Effect,"""异常状态"""
Stealth,"""偷袭"""
Story and History,"""背景故事"""
Supercharger,"""极限突破装置"""
Superchargers,"""极限突破装置"""
Syndicate,"""集团"""
Syndicate Alert,"""集团警报"""
Syndicate Medallions,"""集团勋章"""
Syndicate Operatives,"""集团特工"""
Syndicates,"""集团"""
System Requirements,"""配置需求"""
Threat Level,"""威胁等级"""
Tile Sets,"""地图板块"""
Tileset,"""地图板块"""
Toxic,"""毒素"""
Toxin Damage,"""毒素伤害"""
Toxin,"""毒素"""
Trade,"""交易"""
Trading,"""交易"""
Trade System,"""交易系统"""
Transference Room,"""传识之间"""
Transmutation,"""转换"""
Tritium Battery,"""氚电池"""
Uncommon,"""罕见"""
Viral,"""病毒"""
Void Trader,"""虚空商人"""
WARFRAME (China),"""星际战甲"""
Warframe China,"""星际战甲"""
Warframes,"""战甲"""
Warframe Attributes,"""战甲属性"""
Warframe Augment Mods,"""战甲强化MOD"""
Warframe Augment Mod,"""战甲强化MOD"""
Warframe Chassis Blueprint,"""战甲机体蓝图"""
Warframe Cosmetics,"""战甲外观"""
Sentinel Cosmetics,"""守护外观"""
Warframe Helmet Blueprint,"""战甲头盔蓝图"""
Warframe Systems Blueprint,"""战甲系统蓝图"""
Weapon Augments,"""武器强化"""
Weapon Augment Mods,"""武器强化MOD"""
Weapons Mastery Rank,"""武器段位限制"""
Weapons,"""武器"""
Wild,"""野生动物"""
Zoom,"""瞄准"""
Prime Vault,"""Prime宝库"""
Faction,"""派系"""
Mission Rewards,"""任务奖励"""
Tilesets,"""地图板块"""
Kubrow Cosmetics,"""库狛外观"""
Augment,"""强化"""
Blight,"""毁坏"""
aim,"""瞄准"""
Focus Lens,"""专精晶体"""
Lunaro,"""月动球"""
Sentinel Mods,"""守护MOD"""
Companion,"""同伴"""
Systems,"""系统"""
Cerebrum,"""头部"""
Carapace,"""外壳"""
Prisma,"""棱晶"""
Guides of the Lotus,"""Lotus的向导"""
factions,"""派系"""
invasion,"""入侵"""
Finishing Damage,"""处决伤害"""
Field Bosses,"""乱入头目"""
Field Boss,"""乱入头目"""
Assassin,"""刺客"""
Zanuka Project,"""Zanuka计划"""
Alternate Fire,"""次要开火模式"""
Confusion,"""迷惑"""
Silent,"""无声"""
Datamass,"""数据块"""
Widget,"""改造器"""
Truth,"""真相"""
Corpus Language,"""Corpus语"""
Vandal,"""破坏者"""
Wraith,"""亡魂"""
Emotes,"""表情动作"""
Sniper Rifle,"""狙击枪"""
Syandana,"""披饰"""
Secondary Fire,"""次要开火模式"""
Disarm,"""解除武装"""
Void Relics,"""虚空遗物"""
Void Relic,"""虚空遗物"""
Starchart,"""星图"""
Void Fissure,"""虚空裂缝"""
Fragments,"""碎片"""
Junction,"""接合点"""
Void Traces,"""虚空光体"""
Lith,"""古纪"""
Meso,"""前纪"""
Neo,"""中纪"""
Axi,"""后纪"""
Lith Era,"""古世纪"""
Meso Era,"""前世纪"""
Neo Era,"""中世纪"""
Axi Era,"""后世纪"""
Rotation,"""轮次"""
Sol,"""太阳系"""
Star Chart,"""星图"""
Scanner,"""扫描"""
Bleedout,"""濒死"""
Maroo's Bazaar,"""Maroo的市集"""
Endo,"""内融核心"""
Huras Kubrow,"""匿踪型库狛"""
Raksa Kubrow,"""防护型库狛"""
Sahasa Kubrow,"""突击型库狛"""
Sunika Kubrow,"""猎杀型库狛"""
Chesa Kubrow,"""寻猎型库狛"""
Smeeta Kavat,"""笑面型库娃"""
Adarza Kavat,"""镜像型库娃"""
Carrier,"""搬运者"""
Deth Machine Rifle,"""死亡机枪"""
Dethcube,"""死亡魔方"""
Diriga,"""电气浮囊"""
Djinn,"""引灵"""
Helios,"""赫利俄斯"""
Shade,"""阴影"""
Stinger,"""毒刺"""
Wyrm,"""蛟龙"""
Wyrm Prime,"""蛟龙 Prime"""
Carrier Prime,"""搬运者Prime"""
Prisma Shade,"""棱晶阴影"""
Specter Regiment,"""魅影军团"""
Trading Post,"""交易站"""
Research lab,"""研究实验室"""
research lab,"""研究实验室"""
Energy Lab,"""能源实验室"""
Chemical Lab,"""化学实验室"""
Biological Lab,"""生物实验室"""
Orokin Lab,"""Orokin实验室"""
Alloy Plate,"""合金板"""
Argon Crystal,"""氩结晶"""
Beacons,"""信标"""
Circuits,"""电路"""
Control Module,"""控制模块"""
Credit Cache,"""现金匣"""
Detonite Ampule,"""爆燃安瓿"""
Detonite Injector,"""爆燃喷射器"""
Fieldron,"""电磁力场装置"""
Fieldron Sample,"""电磁力场装置样本"""
Ferrite,"""铁氧体"""
Gallium,"""镓"""
Morphics,"""非晶态合金"""
Mutagen Sample,"""样本突变原"""
Nano Spores,"""纳米孢子"""
Nav Coordinates,"""导航坐标"""
Neural Sensors,"""神经传感器"""
Neurodes,"""神经元"""
Omega Isotopes,"""奥米伽同位素"""
Orokin Cell,"""Orokin电池"""
Pigment,"""颜料"""
Plastids,"""生物质"""
Polymer Bundle,"""聚合物束"""
Rare Resource Blueprint,"""稀有资源蓝图"""
Rubedo,"""红化结晶"""
Resources,"""资源"""
resources,"""资源"""
Salvage,"""回收金属"""
Sanctuary (Cephalon Simaris),"""圣殿"""
Cryotic,"""永冻晶矿"""
Oxium,"""奥席金属"""
Tellurium,"""碲"""
Mutagen Mass,"""突变原聚合物"""
Sunlight Threshcone,"""日光去壳毬果"""
Moonlight Threshcone,"""月光去壳毬果"""
Sunlight Dragonlily,"""日光龙百合"""
Moonlight Dragonlily,"""月光龙百合"""
Sunlight Jadeleaf,"""日光玉叶"""
Moonlight Jadeleaf,"""月光玉叶"""
Nitain Extract,"""泥炭萃取物"""
Dusklight Sarracenia,"""尘光瓶子草"""
Ruk's Claw,"""Ruk之爪"""
Lunar Pitcher,"""月之猪笼草"""
Frostleaf,"""霜叶"""
Vestan Moss,"""灶神藓"""
Suspicious Shipments,"""可疑的货物"""
Hive,"""清巢"""
Annihilation,"""歼夺"""
Rush (Archwing),"""突袭"""
Pursuit,"""追击"""
Assassination,"""刺杀"""
Capture,"""捕获"""
Cephalon Capture,"""夺取中枢"""
Conclave,"""武形秘仪"""
Crossfire,"""多方交战"""
Deception,"""欺骗"""
Defense,"""防御"""
Endless Defense,"""防御"""
Arena,"""竞技场"""
Endless Defense Missions,"""防御"""
Environmental Hazards,"""环境灾害"""
Excavation,"""挖掘"""
Exterminate,"""歼灭"""
Hijack,"""劫持"""
Hive Sabotage,"""清巢"""
Fomorian Sabotage,"""破坏巨人战舰"""
Reactor Sabotage,"""核心破坏"""
Howl of the Kubrow,"""库狛取得任务"""
Interception,"""拦截"""
Invasion,"""入侵"""
Missions,"""任务"""
Mobile Defense,"""移动防御"""
Once Awake,"""悲剧的开端"""
Operation Gate Crash,"""行动代号：摧毁传送门"""
Operation: Gate Crash,"""行动代号：摧毁传送门"""
Orokin Sabotage,"""Orokin破坏"""
Patient Zero,"""零号病患"""
Player vs. Player (PvP),"""玩家间对抗"""
Recovery,"""重整态势"""
Rescue,"""救援"""
Rescue 2.0,"""救援"""
Sabotage,"""破坏"""
Solar Rail Conflict,"""黑暗地带冲突"""
Sortie,"""突击"""
Spy,"""间谍"""
Spy 2.0,"""间谍"""
Survival,"""生存"""
Tactical Alert,"""战术警报"""
Team Annihilation,"""团队歼夺"""
The Archwing,"""Archwing（系列任务）"""
The Law of Retribution,"""复仇法则"""
the Jordas Verdict,"""Jordas的审判"""
The Jordas Verdict,"""Jordas的审判"""
The Limbo Theorem,"""Limbo定理"""
Limbo Theorem,"""Limbo定理"""
The New Strange,"""新疑谜团"""
The Second Dream,"""第二场梦"""
Trial,"""试炼"""
Stolen Dreams,"""被偷走的梦"""
Vor's Prize,"""Vor的战利品"""
Vor's Prize quest,"""Vor的战利品"""
Sealab Sabotage,"""深海研究所破坏"""
A Man of Few Words,"""沉默寡言的男人"""
zipline,"""滑索"""
Zipline,"""滑索"""
Synthesis,"""结合仪式"""
Orokin Moon/Agility Test,"""矫捷考验"""
Orokin Moon/Power Test,"""力量考验"""
Orokin Moon/Stealth Test,"""匿踪考验"""
Orokin Moon/Cunning Test,"""狡诈考验"""
Orokin Moon/Speed Test,"""速度考验"""
Orokin Moon/Endurance Test,"""坚忍考验"""
Orokin Moon/Collaboration Test,"""协力考验"""
Dark Sector Survival,"""黑暗地带生存"""
Dark Sector Defense,"""黑暗地带防御"""
Dark Sector Excavation,"""黑暗地带挖掘"""
The Jordas Precept,"""Jordas枢律"""
Ayatan Sculptures,"""阿耶檀识塑像"""
Ayatan Sculpture,"""阿耶檀识塑像"""
Storage Container,"""存储容器"""
Storage Containers,"""储存容器"""
Locker,"""储存柜"""
Crate,"""储存箱"""
Corpse,"""尸体"""
Resource Cache,"""资源储藏容器"""
Blunt,"""便携掩体"""
Nightfall Apothic,"""夜幕药剂"""
Twilight Apothic,"""暮光药剂"""
Sunrise Apothic,"""日升药剂"""
Pherliac Pod,"""费洛髂荚囊"""
Abra Paris Skin,"""帕里斯磨蚀外观"""
Loki Knave Skin,"""Loki无赖外观"""
Saryn Orphid Skin,"""Saryn兰花外观"""
Oberon Feyarch Skin,"""Oberon精灵之王外观"""
Adventus Arrow Collection,"""初来乍到箭矢组合包"""
Affinity Booster,"""经验值加成"""
Air Support Charge,"""空中支援呼叫器"""
Air Support Charges,"""空中支援呼叫器"""
Aurora Frost Helmet,"""极光Frost头盔"""
Antiserum Injector,"""抗血清注射器"""
Antitoxin (Gear),"""解毒剂"""
Antitoxins,"""解毒剂"""
Fomorian Disruptor,"""巨人战舰干扰器"""
Baro Ki'Teer Noggle,"""Baro Ki'Teer摇头娃娃"""
Bastet Valkyr Helmet,"""芭丝特Valkyr头盔"""
Bleeding Key,"""残血龙钥"""
Booster,"""加成物品"""
Boosters,"""加成物品"""
Brokk,"""布洛克外观"""
Chorus Banshee Helmet,"""Banshee合音头盔"""
Clan Key,"""氏族钥匙"""
Codex Scanner,"""扫描器"""
Coil Mag Helmet,"""线圈Mag头盔"""
Corpus Turret,"""Corpus炮塔"""
Cipher,"""破解器"""
Credit Booster,"""现金加成"""
Dagger Axe (Scindo),"""分裂斩斧戈刃外观"""
Dagger Axe (Zoren),"""佐伦双斧戈刃外观"""
Decaying Key,"""腐朽龙钥"""
Dragon Key,"""龙钥"""
Dragon Keys,"""龙钥"""
Decaying Dragon Key,"""腐朽龙钥"""
Distilling Extractor,"""精粹采集机"""
Distilling Extractor Prime,"""精粹采集机Prime"""
DNA Stabilizer,"""DNA稳定剂套装"""
Eros Arrow Skin,"""爱神之箭外观"""
Explosive Barrel,"""爆炸桶"""
Extinguished Key,"""熄灭龙钥"""
Extractor,"""采集者"""
Forest-Camo Skin Pack,"""森林迷彩外观包"""
Gemini Nikana Sheath,"""侍刃双子刀鞘"""
Genetic Code Template,"""基因密码模板"""
Grand Finale,"""压轴好戏"""
Grineer Desert Tactics Pack,"""Grineer沙漠战术包"""
Health Restore,"""生命补给（大型）"""
Hobbled Key,"""蹒跚龙钥"""
Huntsman Soma,"""猎手外观"""
Incubator Upgrade Segment,"""孵化器升级模块"""
Kinetic Siphon Trap,"""动能吸收陷阱"""
Kinetic Siphon Traps,"""动能吸收陷阱"""
Kotara,"""窟窿"""
Landing Craft Foundry Segment,"""登陆艇铸造厂模块"""
Large Team Ammo Restore,"""团队弹药补给（大型）"""
Large Team Energy Restore,"""团队能量补给（大型）"""
Large Team Heal Restore,"""团队生命补给（大型）"""
Large Team Shield Restore,"""团队护盾补给（大型）"""
Manticore,"""分裂斩斧蝎尾狮外观"""
Medium Team Ammo Restore,"""团队弹药补给（中型）"""
Medium Team Energy Restore,"""团队能量补给（中型）"""
